Rank,Name,Type,Detection Method,Mass (M⊕),Radius (R⊕),Flux (S⊕),Teff (K),Period (days),Distance (ly),Age (Gy),ESI
1,Teegarden's Star b,M Warm Terran,Radial Velocity,>= 1.16, ~ 1.05,1.08,~ 293,4.91,12.5,> 8.00,0.97
2,TOI-700 d,M Warm Terran,Transit,~ 1.25, ~ 1.07,0.86,~ 276,37.4,101,> 1.50,0.94
3,Kepler-1649 c,M Warm Terran,Transit,~ 1.20, ~ 1.06,1.23,~ 302,19.5,300,,0.93
4,TOI-700 e,M Warm Terran,Transit,~ 0.82,0.95,1.28,~ 305,27.8,101,> 1.50,0.91
5,TRAPPIST-1 d,M Warm Subterran,Transit,0.39,0.79,1.12,~ 295,4.05,40.5,> 0.50,0.91
6,LP 890-9 c,M Warm Terran,Transit,< 25.3,1.37,0.91,~ 280,8.46,105,7.20,0.89
7,K2-72 e,M Warm Terran,Transit,~ 2.21,1.29,1.30,~ 306,24.2,216,,0.87
8,Proxima Cen b,M Warm Terran,Radial Velocity,>= 1.07,~ 1.03,0.68,~ 261,11.2,4.2,0.86
9,GJ 1002 b,M Warm Terran,Radial Velocity,>= 1.08,~ 1.03,0.67,~ 260,10.3,15.8,,0.86
10,GJ 1061 d,M Warm Terran,Radial Velocity,>= 1.64,~ 1.16,0.69,~ 246,13.0,12.0,> 7.00,0.86
11,GJ 1061 c,M Warm Terran,Radial Velocity,>= 1.74,~ 1.18,1.45,~ 310,6.69,12.0,> 7.00,0.86
12,Ross 128 b,M Warm Terran,Radial Velocity,>= 1.40,~ 1.11,1.48,~ 316,9.87,11.0,> 5.00,0.86
13,GJ 273 b,M Warm Terran,Radial Velocity,>= 2.89,~ 1.51,1.06,~ 291,18.6,12.3,,0.85
14,Kepler-296 e,M Warm Terran,Transit,~ 2.96,1.53,1.00,~ 281,34.1,544,4.20,0.85
15,Wolf 1069 b,M Warm Terran,Radial Velocity,>= 1.26,~ 1.08,0.65,~ 258,15.6,31.3,,0.85
16,TRAPPIST-1 e,M Warm Terran,Transit,0.69,0.92,0.65,~ 257,6.10,40.5,> 0.50,0.85
17,Kepler-442 b,K Warm Terran,Transit,~ 2.36,1.34,0.70,~ 263,112,1193,2.90,0.84
18,Kepler-1652 b,M Warm Terran,Transit,~ 3.19,1.60,0.84,~ 275,38.1,821,3.20,0.83
19,K2-3 d,M Warm Terran,Transit,< 2.20,1.46,1.45,~ 315,44.6,143,6.90,0.81
20,TOI-715 b,M Warm Terran,Transit,~ 3.02,1.55,0.71,~ 264,19.3,138,6.20,0.81
21,GJ 667 C f,M Warm Terran,Radial Velocity,>= 2.70,~ 1.45,0.56,~ 249,39.0,23.6,> 2.00,0.76
22,Kepler-62 f,K Warm Terran,Transit,< 35.0,1.41,0.41,~ 229,267,981,7.00,0.68
23,TRAPPIST-1 f,M Warm Terran,Transit,1.04,1.04,0.37,~ 224,9.21,40.5,> 0.50,0.68
24,Teegarden's Star c,M Warm Terran,Radial Velocity,>= 1.05,~ 1.02,0.35,~ 221,11.4,12.5,> 8.00,0.66
25,Kepler-1229 b,M Warm Terran,Transit,~ 2.54,1.40,0.32,~ 217,86.8,865,3.72,0.62
26,Kepler-186 f,M Warm Terran,Transit,~ 1.71,1.17,0.29,~ 211,129,579,4.00,0.61
27,GJ 667 C e,M Warm Terran,Radial Velocity,>= 2.70,~ 1.45,0.30,~ 213,62.2,23.6,> 2.00,0.60
28,GJ 1002 c,M Warm Terran,Radial Velocity,>= 1.36,~ 1.10,0.26,~ 205,21.2,15.8,,0.58
29,TRAPPIST-1 g,M Warm Terran,Transit,1.32,1.13,0.25,~ 203,12.4,40.5,> 0.50,0.58